Name,Ticker,Price,Currency,AI Prediction,Confidence,Score
Micron Technology,MU,1096.1600341796875,USD,15.540939,-0.6067426541060921,21.652527885083497
Sandisk,SNDK,1887.0400390625,USD,20.900429,-1.001243499483755,20.874439099584453
Marvell Technology,MRVL,262.3599853515625,USD,7.7281137,-0.12205651929321215,14.51296064957421
Western Digital,WDC,464.6000061035156,USD,7.765335,-0.21101162947095142,13.8920941567622
Lam Research,LRCX,310.9599914550781,USD,7.3494096,-0.12211927495348873,13.801314591187428
Intel,INTC,123.86000061035156,USD,7.6004076,-0.2073119004565045,13.625160256922092
Caterpillar Inc.,CAT,808.010009765625,USD,8.804761,-0.4679514361810486,13.489321342052918
Oracle Corporation,ORCL,149.1999969482422,USD,12.157948,-0.8994665196728038,13.380228320143349
Synopsys,SNPS,409.239990234375,USD,7.625169,-0.4486347541903122,11.829421870301552
Seagate Technology,STX,919.8400268554688,USD,5.7082787,0.024832501364904336,11.558308149528237
Jabil,JBL,308.9800109863281,USD,5.7744975,-0.10557788412189617,10.939335789137708
ON Semiconductor,ON,73.5999984741211,USD,7.0042195,-0.4842479709645675,10.61665996745822
Meta Platforms,META,736.5999755859375,USD,5.013184,8.455854530509122e-05,10.026792048726673
Comfort Systems USA,FIX,1625.1300048828125,USD,5.1962247,-0.0887150692407872,9.931465945849055
Lennox International,LII,371.67999267578125,USD,5.1329355,-0.07731475731572934,9.869019383619307
Monolithic Power Systems,MPWR,1380.6199951171875,USD,5.1426973,-0.11099243236300005,9.714594182539589
DaVita,DVA,183.72000122070312,USD,7.999299,-0.8092023057015014,9.525546864002829
Generac,GNRC,206.1699981689453,USD,6.393916,-0.5379433246680037,9.348267759475801
GE Vernova,GEV,950.280029296875,USD,4.6938252,-0.01550410712857797,9.31487692036732
Keysight Technologies,KEYS,347.32000732421875,USD,5.0894732,-0.17653190325937662,9.280492096082341
Ciena,CIEN,368.55999755859375,USD,8.753517,-0.9410243662159086,9.269761372691905
D. R. Horton,DHI,144.11000061035156,USD,5.4755054,-0.3083033090644791,9.262894285212415
Carvana,CVNA,65.4000015258789,USD,4.6193047,-0.021457821136030564,9.139489100862482
KLA Corporation,KLAC,188.32000732421875,USD,4.5759945,-0.058646398582278714,8.883623386290951
Coherent Corp.,COHR,310.3900146484375,USD,4.9146094,-0.21837860293820377,8.755973322645696
Aptiv,APTV,44.61000061035156,USD,4.886209,-0.28227309238211573,8.39317269457345
CrowdStrike,CRWD,250.05999755859375,USD,4.3699036,-0.09636847284645444,8.318686195913624
Ferguson Enterprises,FERG,221.1699981689453,USD,4.181966,-0.1325477574844851,7.809621463513343
"Tesla, Inc.",TSLA,378.8999938964844,USD,4.8686624,-0.4060070781493439,7.760613336465264
DoorDash,DASH,192.2100067138672,USD,4.2052717,-0.16292833376477955,7.72538552726032
Qnity Electronics,Q,124.86000061035156,USD,4.94914,-0.4526701453498283,7.65795218804824
Analog Devices,ADI,390.3699951171875,USD,6.9883018,-0.9050130921888342,7.652098928461401
Applied Materials,AMAT,472.4599914550781,USD,4.224074,-0.20079295066657643,7.599983514164146
Copart,CPRT,28.799999237060547,USD,6.2876463,-0.7971391374842498,7.563163643961935
Southwest Airlines,LUV,42.08000183105469,USD,4.1236725,-0.16683168243461788,7.559385752162582
